"Month","Longitude","Latitude","Location","Crime type","City-Town-Village","Population"
"2015-08",-5.933066,54.591086,"Dublin Road","ASBO","OMAGH","21,325"
"2017-06",-7.47647,54.787475,"Daisy Park","ASBO","SION MILLS","2,064"
"2016-03",-5.935054,54.598569,"King Street","ASBO","BELFAST","335,665"
"2015-08",-5.963882,54.631466,"Tyndale Gardens","VECR","BELFAST","335,665"
"2016-07",-6.223332,54.480173,"Meeting Street","ASBO","DROMORE","5,254"
"2017-07",-5.839762,54.63121,"Ardnagreena Gardens","VISO","HOLYWOOD","12,657"
"2015-08",-5.896897,54.212198,"Shimna Mile","PUBO","NEWCASTLE","7,524"
"2016-04",-6.431276,54.430061,"Grantham Park","CDAR","PORTADOWN","22,611"
"2015-10",-5.930067,54.600182,"Rosemary Street","SHOP","BELFAST","335,665"
"2016-07",-6.7399,54.637198,"Stewart Avenue","ASBO","COOKSTOWN","10,718"
"2016-05",-7.281825,54.609348,"Knockshee Park","CDAR","OMAGH","21,325"
"2015-08",-6.278889,54.864986,"George Street","ASBO","PORTADOWN","22,611"
"2015-11",-6.457149,54.431733,"Ballyoran Heights","VISO","PORTADOWN","22,611"
"2016-11",-6.338295,54.457362,"Sloan Street","BURG","LISBURN","121,654"
"2017-10",-5.970893,54.626903,"Silverstream Parade","OTTH","BELFAST","335,665"
"2016-12",-6.281757,54.853607,"Montague Park","Drugs","BALLYMENA","30,265"
"2016-08",-6.275444,54.876724,"Kew Gardens","VISO","BELFAST","335,665"
"2017-10",-6.21334,54.597041,"Gobrana Road","Drugs",NA,NA
"2017-01",-6.068101,54.528429,"The Oaks","OTTH","NEWTOWNARDS","28,654"
"2017-06",-5.948576,54.688433,"Beverley Road","VISO","NEWTOWNARDS","28,654"
"2017-12",-6.657198,54.499357,"Ballynakilly Road","VISO","COALISLAND","5,789"
"2015-02",-5.95079,54.598612,"Conway Street","ROBY","LISBURN","121,654"
"2017-01",-5.933366,54.592484,"Downshire Place","ASBO","HOLYWOOD","12,657"
"2016-01",-6.102617,54.700269,"Castleton","CDAR","TEMPLEPATRICK","1,518"
"2017-09",-6.780518,54.507447,"Springdale","ASBO","DUNGANNON","15,987"
"2015-05",-5.951225,54.580092,"Meadowbank Street","ASBO","BELFAST","335,665"
"2017-07",-5.674846,54.660754,"Bryansburn Road","OTTH","BANGOR","62,789"
"2016-02",-7.596329,54.717292,"Castlefin Road","OTCR","CASTLEDERG","2,936"
"2015-03",-6.370055,54.467605,"Knockramer Meadows","ASBO","LURGAN","28,568"
"2016-11",-5.906352,54.586431,"Ravenhill Avenue","CDAR","BELFAST","335,665"
"2016-03",-5.922547,54.622947,"Shore Road","VISO","GLYNN","2,156"
"2017-10",-5.950249,54.608459,"Jaffa Street","ASBO",NA,NA
"2015-12",-5.93642,54.639779,"Antrim Road","VECR","TEMPLEPATRICK","1,518"
"2016-09",-6.273686,54.742835,"M22","BURG",NA,NA
"2016-06",-7.609489,54.356684,"Sycamore Drive","ASBO","MAGHERA","3,712"
"2017-08",-6.64337,54.490416,"Tamnamore Close","VISO","DUNGANNON","15,987"
"2016-01",-5.93594,54.611343,"Antrim Road","VECR","TEMPLEPATRICK","1,518"
"2017-09",-6.203567,54.72294,"Bush Park","VISO","ANTRIM","21,896"
"2017-12",-5.827365,54.733194,"Meadow Hill","OTTH",NA,NA
"2016-08",-6.221873,54.803934,"Fernisky Park","ASBO","KELLS",NA
"2015-01",-6.32004,54.749964,"Main Street","VISO","BALLYMONEY","11,365"
"2015-08",-6.608738,54.077323,"Cardinal O'Fiaich Square","VISO","NEWTOWNHAMILTON","2,903"
"2016-02",-5.945368,54.614702,"Roseleigh Street","CDAR","BELFAST","335,665"
"2016-09",-6.011557,54.752807,"Grange Drive","VISO","BALLYMONEY","11,365"
"2016-09",-5.980845,54.591686,"Ballymurphy Road","OTCR","BELFAST","335,665"
"2017-03",-5.91548,54.657552,"Merville Garden Village","ASBO","NEWTOWNABBEY","118,261"
"2015-10",-5.924968,54.600625,"High Street","OTCR","HOLYWOOD","12,657"
"2015-02",-7.320497,55.006962,"Rock Terrace","OTTH","LONDONDERRY",NA
"2016-06",-5.885337,54.400942,"Hillfoot Crescent","ASBO","BALLYNAHINCH","5,567"
"2015-10",-7.318121,54.993133,"Bridge Street","Drugs","CUSHENDALL","1,410"
"2016-08",-6.779061,54.346511,"Esker Park","ASBO","ARMAGH","175,621"
"2015-09",-6.215203,54.619189,"Orchard Hill","VISO","BALLYMENA","30,265"
"2017-11",-6.271199,54.852505,"Lettercreeve","CDAR","BALLYMENA","30,265"
"2015-07",-6.474389,54.873017,"Cullybackey Road","ASBO","BALLYMENA","30,265"
"2015-06",-6.276436,54.860423,"James Street","ASBO","COLERAINE","24,694"
"2017-05",-5.928439,54.613038,"Glenrosa Street","VISO","BELFAST","335,665"
"2017-05",-6.457163,54.430934,"Garvaghy Park","VISO","PORTADOWN","22,611"
"2015-10",-5.895814,54.601487,"Connswater Grove","ASBO","BELFAST","335,665"
"2015-12",-5.937646,54.597813,"Killen Street","VECR","BELFAST","335,665"
"2015-11",-6.394245,54.462772,"Kilvergan Road","OTTH","LURGAN","28,568"
"2016-06",-5.905355,54.593503,"The Mount","ASBO","BELFAST","335,665"
"2016-12",-6.338279,54.464621,"Rectory Road","VISO","TOBERMORE","581"
"2017-10",-6.7738,54.503417,"William Street","VISO","DONAGHADEE","6,926"
"2017-12",-6.065904,54.519355,"Lenwood Hill","ASBO","LISBURN","121,654"
"2016-10",-6.700607,54.541508,"Ardnaskea Drive","Drugs","COALISLAND","5,789"
"2015-09",-7.343375,55.015702,"Gweebara Park","VISO","LONDONDERRY",NA
"2017-06",-6.676244,54.575751,"Loughview Close","OTTH","STEWARTSTOWN","621"
"2015-07",-7.570955,54.520635,"Tedd Road","OTTH","LACK","116"
"2016-05",-5.940605,54.600811,"Fingals Court","ASBO","BELFAST","335,665"
"2015-03",-5.689548,54.589322,"Lamont Avenue","OTTH","NEWTOWNARDS","28,654"
"2017-10",-6.178493,54.7058,"Oakburn","ASBO","ANTRIM","21,896"
"2016-07",-5.9333,54.597155,"Wellington Place","VISO","BELFAST","335,665"
"2016-09",-5.934292,54.600173,"Berry Street","SHOP","BELFAST","335,665"
"2016-09",-6.273368,54.859687,"Waring Street","CDAR","BELFAST","335,665"
"2015-10",-5.923999,54.598389,"Victoria Square","CDAR","BELFAST","335,665"
"2016-09",-5.678936,54.653186,"Chester Park","VISO","BANGOR","62,789"
"2015-08",-5.947486,54.252687,"O'Donnell Close","OTTH","CASTLEWELLAN","2,421"
"2017-11",-5.934882,54.589437,"Donegall Road","VISO","BELFAST","335,665"
"2016-11",-5.890031,54.592104,"Abetta Parade","CDAR","BELFAST","335,665"
"2017-04",-5.50465,54.58121,"Ballywalter Road","Drugs","MILLISLE","2,359"
"2017-11",-6.025042,54.57521,"Suffolk Rise","ASBO","BELFAST","335,665"
"2015-05",-5.712698,54.755794,"Alexandra Avenue","VISO","BALLYMONEY","11,365"
"2015-11",-5.952107,54.695617,"The Glade","CDAR","NEWTOWNABBEY","118,261"
"2016-09",-5.797764,54.586974,"Enler Park West","CDAR","DUNDONALD","16,257"
"2016-02",-5.941804,54.258009,"Main Street","VISO","BALLYMONEY","11,365"
"2015-02",-7.656755,54.531554,"Villa Terrace","VISO","EDERNEY","558"
"2017-04",-6.335466,54.466271,"Clara Street","ASBO","BELFAST","335,665"
"2016-11",-7.31798,54.995944,"Foyle Street","VISO","LONDONDERRY",NA
"2016-02",-6.653657,54.345886,"Dobbin Street","VISO","ARMAGH","175,621"
"2015-11",-5.940606,54.60294,"Boundary Street","VISO","BELFAST","335,665"
"2015-10",-5.626645,54.658039,"Sherwood Road","ASBO","BANGOR","62,789"
"2016-06",-6.66828,55.131377,"Society Street","CDAR","COLERAINE","24,694"
"2016-08",-5.891343,54.2222,"Burrendale Park Road","ASBO","NEWCASTLE","7,524"
"2015-10",-5.904914,54.582497,"Pirrie Park Gardens","CDAR","BELFAST","335,665"
"2017-10",-6.053466,54.510045,"Governors Rd Roundabout","ASBO",NA,NA
"2017-04",-5.924374,54.63996,"Parkmount Terrace","ASBO","BELFAST","335,665"
"2016-04",-5.915863,54.59195,"Ravenhill Reach Court","CDAR","BELFAST","335,665"
"2017-09",-5.917762,54.6923,"Monkstown Road","OTTH","NEWTOWNABBEY","118,261"
"2016-06",-5.699919,54.595567,"Thomas Street","ASBO","BALLYMENA","30,265"
"2017-11",-7.631701,54.344428,"Forthill Road","ASBO","ENNISKILLEN","13,826"
"2016-08",-5.906281,54.680027,"Abbeycroft Road","ASBO","NEWTOWNABBEY","118,261"
"2015-06",-7.310418,54.598833,"Great Northern Road","ASBO",NA,NA
"2016-04",-7.474656,54.787117,"Marshalls Row","OTCR","SION MILLS","2,064"
"2016-05",-5.9336,54.5946,"Amelia Street","OTTH","BELFAST","335,665"
"2016-10",-7.329923,55.030252,"Galliagh Park","CDAR","LONDONDERRY",NA
"2017-10",-7.26164,54.624112,"Waterworks Road","VECR","OMAGH","21,325"
"2016-06",-5.943706,54.627082,"Old Westland Road","OTTH","BELFAST","335,665"
"2017-05",-6.355191,54.147027,"Seavers Road","CDAR","NEWRY","27,234"
"2015-05",-7.467098,54.822827,"Chestnut Grove","CDAR","LURGAN","28,568"
"2016-12",-5.923271,54.626661,"York Crescent","CDAR","BELFAST","335,665"
"2017-12",-6.320588,54.190809,"Drumcashel Villas","ASBO","NEWRY","27,234"
